9153048;zhangbolily;643;59936802
9153048;zhangbolily;625;59936802
29225002;azcase;609;93495346
25677728;at2012;606;111199594
33484317;Takenote8132;604;115398707
34973682;lvnkae;604;115835197
28560251;min1124;580;93035261
23497577;vinny172;578;84664172
23497577;vinny172;578;84664172
30396576;sinn144;574;102249665
7299601;yusian;564;119478839
7299601;yusian;562;119478839
2010586;sunbird668;557;5121255
18381515;mark2016goog;507;55910548
9153048;zhangbolily;506;59936802
28060838;Ratisser;499;118557499
14301542;YoichiroUrita;494;42547346
19680282;takumi586;492;63036783
25677728;at2012;489;111199594
34973682;lvnkae;486;117444117
29495749;hurikake;484;97734708
19340271;MisurinNikolai;471;106675095
1677058;mqnoy;468;40651209
6469256;jordanLex;461;16325552
7472613;TwoNotTwo;459;76056880
21332774;nemetz-zp;455;106783251
15624961;hanboyuan;454;46244666
21332774;nemetz-zp;453;106783251
16694860;sangyeonK;447;49613927
16225547;9whoami;447;47747105
8856453;Djam13;446;55998201
29225002;azcase;445;93495346
8572903;okunokao;444;42681468
4739346;Surpreem;443;89136507
26868468;AntLer-24rus;441;90351804
21333800;strizhas;439;70791880
11983171;R654;436;34072838
7960563;kimdongbeom;432;21113407
1898741;crazymakcter;429;80314802
10064457;mtechno;429;83453338
22048098;changwh;427;82152493
29326914;zaslavskayaeg;426;93920808
6593485;Markus-dev;426;16573023
13299010;crescal;425;63140068
11983171;R654;424;34072838
15992554;Chuncheng666;422;127777934
9251127;xDimon;422;55543754
34973682;lvnkae;420;117444117
31157411;longarmed;420;119935663
12814100;sergtihonov77;419;79798692
